feature,auc,gini,ks,iv,corr,n,pct_missing,iv_interpretation,domain
rec_vlr_total_l90d,0.5205663635060224,4.113272701204473,5.90871993839015,0.02092392209595448,-0.009489015052297123,1814536,0.311083943961426,Fraco,rec_
rec_vlr_avg_geral,0.5180135712883811,3.6027142576762206,7.927539123809413,0.07590846554310897,-0.013806651778800392,1891934,0.2816986218155587,Fraco,rec_
atr_qtd_faturas_atrasadas_l90d,0.5150693776551317,3.0138755310263443,5.4096893669053125,0.0008625708620627648,-0.01915946453342021,2633900,0.0,Nao Preditivo,atr_
rec_qtd_l90d,0.5143908999199521,2.8781799839904254,4.184660430580289,0.006022354355967515,0.028073958979925442,2633900,0.0,Nao Preditivo,rec_
rec_flag_sem_recarga_l60d,0.5134623841601047,2.6924768320209402,2.6924768320209402,0.0,-0.02326828395972457,2633900,0.0,Nao Preditivo,rec_
rec_dias_desde_ultima,0.513219783237744,2.6439566475487952,6.180771838415683,0.034783982041089075,0.024618740273611994,1891934,0.2816986218155587,Fraco,rec_
atr_flag_atraso_l90d,0.5131117088118575,2.622341762371505,2.622341762371505,0.0,-0.023581502378995547,2633900,0.0,Nao Preditivo,atr_
atr_flag_atraso_l60d,0.5113398747893759,2.267974957875185,2.267974957875185,0.0,-0.020710255238591668,2633900,0.0,Nao Preditivo,atr_
rec_qtd_l60d,0.5104401516449277,2.088030328985546,2.6924768320209402,0.008656033183484102,0.027659827897032804,2633900,0.0,Nao Preditivo,rec_
rec_vlr_total_l30d,0.5103457309581414,2.0691461916282794,3.9750221445359113,0.011165967121845666,0.0006123998859089878,1536016,0.41682827745928086,Nao Preditivo,rec_
rec_qtd_geral,0.5101792094266072,2.0358418853214433,5.0177883986680545,0.02241149992896206,0.015213231283381295,2633900,0.0,Fraco,rec_
atr_qtd_faturas_atrasadas_l60d,0.5085691526787703,1.7138305357540684,2.267974957875185,0.0058089328865726176,0.009568378497382216,2633900,0.0,Nao Preditivo,atr_
rec_vlr_total_geral,0.5070104635543187,1.4020927108637338,4.9223268567282545,0.0345950785042259,-0.008239331999947693,1891934,0.2816986218155587,Fraco,rec_
atr_flag_atraso_l30d,0.5065368521135409,1.3073704227081873,1.3073704227081873,0.0,-0.015630214432353063,2633900,0.0,Nao Preditivo,atr_
atr_qtd_faturas_atrasadas_l30d,0.5056865590520898,1.1373118104179625,1.3073704227081873,0.0007130147312888957,0.008016084318796173,2633900,0.0,Nao Preditivo,atr_
rec_qtd_l30d,0.5032602023036516,0.6520404607303298,1.9227000791795026,0.005946430403235857,0.027573467869191192,2633900,0.0,Nao Preditivo,rec_
atr_flag_recorrente_l30d,0.50290153671911,0.5803073438219952,0.5803073438220098,0.0,0.011092123970554136,2633900,0.0,Nao Preditivo,atr_
rec_flag_sem_recarga_l30d,0.5027032617822935,0.540652356458704,0.5406523564586874,0.0,0.004484473509780643,2633900,0.0,Nao Preditivo,rec_
cad_var_03,0.5021200838818644,0.42401677637287083,0.5819051390895447,0.0007322768665863976,0.0029064351708088408,2454324,0.06817874634572307,Nao Preditivo,cad_
atr_flag_recorrente_l60d,0.5017732115204995,0.3546423040998947,0.3546423040998725,0.0,0.004436034742149184,2633900,0.0,Nao Preditivo,atr_
